Ensembl Gene ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	Gene Biotype	Transcript count
ENSDARG00000086614		7	6909029	6909340	protein_coding	1
ENSDARG00000087895	mib	Zv9_scaffold3504	38978	65722	protein_coding	1
ENSDARG00000074320	KCNAB3	5	71264762	71288364	protein_coding	1
ENSDARG00000076924	als2b	6	7865395	7932813	protein_coding	2
ENSDARG00000089124	hbae1	3	55990085	55990799	protein_coding	1
ENSDARG00000088443	CABZ01038524.1	3	59474136	59484829	protein_coding	1
ENSDARG00000086101	CABZ01071530.1	21	9136732	9148841	protein_coding	1
ENSDARG00000061796	rasgrp4	18	34082674	34142319	protein_coding	2
ENSDARG00000091223	BX005047.1	1	36837390	36853526	protein_coding	1
ENSDARG00000096619	si:ch211-1f22.10	1	57505158	57509810	protein_coding	1
ENSDARG00000019601	col12a1b	20	49761926	49993603	protein_coding	3
ENSDARG00000092516	si:dkey-19p15.5	21	4742649	4745680	protein_coding	1
ENSDARG00000078172	PTGFRN (2 of 2)	9	494581	512906	protein_coding	1
ENSDARG00000060912	SLC5A7 (1 of 2)	9	306849	314027	protein_coding	1
ENSDARG00000075366	si:ch211-113a14.10	7	76827543	76827854	protein_coding	1
ENSDARG00000097121	si:ch73-365i12.4	25	5270296	5280799	antisense	1
ENSDARG00000034768	phf3	13	38051149	38070874	protein_coding	4
ENSDARG00000058202	pex16	18	43330733	43352485	protein_coding	1
ENSDARG00000089153	IL17RA (4 of 5)	25	20544109	20548623	protein_coding	1
ENSDARG00000074156	sgca	12	3669968	3684771	protein_coding	3
ENSDARG00000088466	CABZ01108997.2	24	45042	46774	protein_coding	1
ENSDARG00000093066	si:ch73-346m18.6	3	13704772	13705199	processed_transcript	1
ENSDARG00000076901	si:ch211-220m6.5	8	47320122	47322241	processed_transcript	2
ENSDARG00000059138		13	305967	306950	protein_coding	1
ENSDARG00000091804	AL935274.1	4	45741670	45742746	protein_coding	1
ENSDARG00000005901	AIM1L	19	50041505	50060868	protein_coding	1
ENSDARG00000068732	spry4	21	43164027	43169541	protein_coding	1
ENSDARG00000028725	ADRA1A (2 of 2)	8	5264623	5296137	protein_coding	1
ENSDARG00000075978	pcdh1gc5	10	21869752	22032148	protein_coding	10
ENSDARG00000095905	si:ch211-262h13.6	22	41849592	41850737	processed_transcript	2
ENSDARG00000092203	CR352226.2	22	6537134	6537897	protein_coding	1
ENSDARG00000027930	naprt1	20	52613084	52653937	protein_coding	1
ENSDARG00000086596	MED8 (2 of 2)	6	2219912	2221680	protein_coding	1
ENSDARG00000044406	LURAP1	6	30318149	30350925	protein_coding	2
ENSDARG00000091229	ZNF585A (18 of 40)	Zv9_scaffold3530	485697	490935	protein_coding	1
ENSDARG00000096656	si:ch211-1f22.6	1	57402209	57407274	protein_coding	1
ENSDARG00000058460	cacng3a	1	8158501	8168019	protein_coding	2
ENSDARG00000091806	CABZ01072244.1	11	135095	136753	protein_coding	1
ENSDARG00000059442	smtnb	5	72150092	72176308	protein_coding	3
ENSDARG00000017441	mylz3	1	6504059	6519613	protein_coding	4
ENSDARG00000032984	ngfrb	12	10925523	10987495	protein_coding	1
ENSDARG00000035290	dmrt3a	5	46619179	46622445	protein_coding	1
ENSDARG00000076131		24	17869604	17871223	protein_coding	1
ENSDARG00000058008	six3a	13	9823203	9826579	protein_coding	1
ENSDARG00000079401	si:dkey-197c15.6	24	7933431	7939878	protein_coding	1
ENSDARG00000037605	slco1f1	5	62638038	62646208	protein_coding	1
ENSDARG00000079342	SAMD5	17	7055763	7056284	protein_coding	1
ENSDARG00000035452	camkk1	5	32921191	33070342	protein_coding	2
ENSDARG00000068310	ccr9b	24	12023441	12032453	protein_coding	2
ENSDARG00000013935	TMEM196 (1 of 2)	19	2319126	2331749	protein_coding	1
ENSDARG00000059166	SLC22A13	24	20616683	20625209	protein_coding	1
ENSDARG00000096244	ighv5-7	3	34167155	34167579	protein_coding	1
ENSDARG00000090379		3	57705752	57713889	protein_coding	1
ENSDARG00000052747	gpatch3	16	57121174	57132210	protein_coding	1
ENSDARG00000091487	CABZ01078634.2	Zv9_scaffold3487	224360	224707	protein_coding	1
ENSDARG00000074686	mgea5	13	11742835	11759423	protein_coding	1
ENSDARG00000079363	LRIG3	15	3021879	3036643	protein_coding	1
ENSDARG00000074036	ky	13	13604215	13617398	protein_coding	2
ENSDARG00000075358	prr16	8	425222	438792	protein_coding	1
ENSDARG00000093436	si:ch211-215m21.14	20	42885285	42889273	protein_coding	2
ENSDARG00000043944	etfa	25	33738109	33769864	protein_coding	2
ENSDARG00000094166	si:ch211-110p13.3	5	70281159	70283747	processed_transcript	2
ENSDARG00000058729	akirin2	20	2745116	2755097	protein_coding	4
ENSDARG00000090399	CABZ01066439.2	19	3269606	3292113	protein_coding	1
ENSDARG00000094110	si:ch211-284e20.4	22	41198516	41199377	processed_transcript	2
ENSDARG00000060380	coq6	17	45176230	45195289	protein_coding	2
ENSDARG00000039913	tmem147	16	47854537	47877324	protein_coding	1
ENSDARG00000078386	DYNC1I2 (3 of 3)	9	3242355	3255198	protein_coding	1
ENSDARG00000009868	dcaf11	24	12867252	12887962	protein_coding	4
ENSDARG00000053124	BX005082.1	7	36245477	36246526	protein_coding	1
ENSDARG00000086865	ugt2b1	5	9929824	9930700	protein_coding	1
ENSDARG00000032372	CCDC180	5	52814444	52836271	protein_coding	3
ENSDARG00000089940	si:ch73-40a17.5	2	319490	340465	protein_coding	2
ENSDARG00000073955	PNPLA2	25	4761455	4784871	protein_coding	1
ENSDARG00000092393	si:dkey-84o3.13	21	4664965	4668157	protein_coding	1
ENSDARG00000078187	slc12a5b	8	38396505	38503072	protein_coding	2
ENSDARG00000096625	si:ch211-286b5.8	1	55844177	55850506	protein_coding	1
ENSDARG00000090830	TMEM132E	5	62321284	62376014	protein_coding	1
ENSDARG00000086103	slc37a1	9	19986341	20021106	protein_coding	1
ENSDARG00000028857	SGSM1 (1 of 2)	5	21818597	21876524	protein_coding	1
ENSDARG00000001470	mhc1zea	1	47613228	47619236	protein_coding	2
ENSDARG00000070818	pax7b	23	21151977	21226606	protein_coding	3
ENSDARG00000097378	si:dkey-81l17.7	3	15674990	15675713	antisense	1
ENSDARG00000074669	cacng4	3	61553824	61574771	protein_coding	1
ENSDARG00000074366	FP245444.1	2	1727339	1743445	protein_coding	1
ENSDARG00000055142		7	4471568	4484870	protein_coding	1
ENSDARG00000089099	CT033790.2	11	4380243	4383428	protein_coding	1
ENSDARG00000057430	atg16l1	15	44800381	44844611	protein_coding	3
ENSDARG00000053942	tmx4	17	3519184	3543360	protein_coding	2
ENSDARG00000041232	rps29	20	54434492	54441100	protein_coding	1
ENSDARG00000090808	GABRA3 (1 of 2)	Zv9_NA834	19752	41261	protein_coding	1
ENSDARG00000088936	BX649556.2	Zv9_scaffold3530	37025	100672	protein_coding	1
ENSDARG00000086291	AL928685.1	22	6196067	6197846	protein_coding	1
ENSDARG00000013012	rpl36	22	1222010	1227590	protein_coding	2
ENSDARG00000086437	AL845481.1	17	29402758	29403973	protein_coding	1
ENSDARG00000074394	CABZ01049058.1	19	3386905	3390635	protein_coding	1
ENSDARG00000078418	meaf6	19	4820056	4828644	protein_coding	1
ENSDARG00000075476	si:ch211-213a13.7	22	9050240	9070772	protein_coding	2
ENSDARG00000091585	si:rp71-84d9.2	17	12041313	12060277	protein_coding	3
ENSDARG00000097050	si:ch211-159e12.10	11	488419	490851	lincRNA	1
ENSDARG00000051852	kcnc1a	7	34362962	34418098	protein_coding	1
ENSDARG00000043768	si:ch211-282j17.2	7	3817608	3822935	protein_coding	2
ENSDARG00000087961	BX465186.1	10	21440456	21443248	protein_coding	1
ENSDARG00000094043	TTF1 (5 of 6)	5	66529434	66538430	protein_coding	1
ENSDARG00000074603	tbl2	10	34208824	34221758	protein_coding	1
ENSDARG00000091772		1	58226966	58243277	protein_coding	2
ENSDARG00000095363	si:dkey-111e8.2	5	39610081	39614664	processed_transcript	1
ENSDARG00000074790	C23H20orf24	23	2894249	2901300	protein_coding	1
ENSDARG00000082084	AC024175.14	MT	4924	4992	Mt_tRNA	1
ENSDARG00000095963	si:ch73-361h17.1	23	45443907	45457012	protein_coding	1
ENSDARG00000068819	HTRA2 (3 of 31)	10	35193758	35199274	protein_coding	2
ENSDARG00000053952	CU681841.1	23	46015428	46016160	protein_coding	1
ENSDARG00000056403	wacb	2	3070270	3086434	protein_coding	2
ENSDARG00000078767	yeats2	2	44676654	44756745	protein_coding	2
ENSDARG00000090354		Zv9_NA655	1913	4974	protein_coding	1
ENSDARG00000057887	nts	18	15989139	15998685	protein_coding	2
ENSDARG00000095139	si:dkey-178o8.2	23	14520742	14527203	processed_transcript	1
ENSDARG00000022698	lad1	23	5737838	5769319	protein_coding	1
ENSDARG00000037855	taf11	23	325279	331653	protein_coding	4
ENSDARG00000079914	stoml3a	15	3355194	3361980	protein_coding	1
ENSDARG00000086683	BX294383.2	4	38991761	38993232	protein_coding	1
ENSDARG00000061096	dapk2	7	30617709	30628699	protein_coding	3
ENSDARG00000092549	ZNF585A (21 of 40)	4	40391866	40392993	protein_coding	1
ENSDARG00000089255	si:ch211-286c4.6	25	7942836	7949653	protein_coding	3
ENSDARG00000070073	BX530062.1	11	13692571	13702633	protein_coding	1
ENSDARG00000071871	GLOD5	14	11594012	11598203	protein_coding	1
ENSDARG00000035697		8	690341	699975	protein_coding	1
ENSDARG00000087679	si:dkey-11p23.9	16	44292498	44298473	processed_transcript	2
ENSDARG00000091765	PLA2G4C (5 of 5)	5	2043309	2061765	protein_coding	1
ENSDARG00000074894	si:dkey-228b2.5	21	11249011	11256842	protein_coding	2
ENSDARG00000075444	CGREF1	17	32836547	32842291	protein_coding	2
ENSDARG00000078206	zgc:171506	3	24909253	24919040	protein_coding	1
ENSDARG00000026811	extl3	20	50252671	50326789	protein_coding	2
ENSDARG00000062749	ino80b	7	8529938	8540460	protein_coding	1
ENSDARG00000022000	traf3	17	29285576	29308368	protein_coding	2
ENSDARG00000086867	CU929449.2	7	3202282	3214161	protein_coding	1
ENSDARG00000058960	OTOL1 (2 of 2)	15	1700373	1706678	protein_coding	1
ENSDARG00000075505	PTGFRN (1 of 2)	1	1697817	1757143	protein_coding	2
ENSDARG00000087085	BX950862.4	7	5770654	5774715	protein_coding	1
ENSDARG00000092514	BX510654.1	10	35268436	35271456	protein_coding	1
ENSDARG00000044915	sfmbt1	11	18699551	18748768	protein_coding	2
ENSDARG00000068460	OTOG	7	40856645	40925487	protein_coding	1
ENSDARG00000095324	galnt8b	4	5089199	5096419	protein_coding	2
ENSDARG00000093836	si:dkey-83f18.14	7	4646541	4649672	protein_coding	1
ENSDARG00000025797	abhd2a	7	14692163	14730459	protein_coding	1
ENSDARG00000026049	mxf	15	4945138	4964971	protein_coding	2
ENSDARG00000057395	SSBP2 (2 of 2)	5	47818124	47885045	protein_coding	1
ENSDARG00000086464	DPYD (3 of 5)	24	32346482	32355962	protein_coding	1
ENSDARG00000031427	calm3b	13	8143289	8150709	protein_coding	1
ENSDARG00000070957	im:7160594	24	40774383	40780987	protein_coding	1
ENSDARG00000086213	EML4 (1 of 2)	13	2298110	2351502	protein_coding	1
ENSDARG00000079571	zgc:162161	20	3378093	3384371	protein_coding	1
ENSDARG00000093877	MFAP4 (10 of 14)	1	59873603	59876279	protein_coding	2
ENSDARG00000093385	si:dkey-208b23.4	8	13544475	13545242	processed_transcript	1
ENSDARG00000093286	ANKRD34C	18	25910471	25912060	protein_coding	1
ENSDARG00000095922	zgc:91909	8	53235259	53236452	processed_transcript	1
ENSDARG00000075519	FMNL1 (2 of 2)	24	38080714	38110063	protein_coding	1
ENSDARG00000074973	CR788254.1	2	30061436	30062203	protein_coding	1
ENSDARG00000070274	CR407594.1	4	33116295	33120505	protein_coding	1
ENSDARG00000058318	c1qtnf9	24	22514730	22521374	protein_coding	2
ENSDARG00000078297	ptprh	24	7827257	7841798	protein_coding	2
ENSDARG00000070213	etnk2	11	39014482	39046271	protein_coding	1
ENSDARG00000088933	GOLT1A	11	24262176	24266966	protein_coding	1
ENSDARG00000071675	C22H19orf10 (1 of 2)	22	4839656	4848960	protein_coding	1
ENSDARG00000076610	CR394546.1	3	2720455	2734319	protein_coding	1
ENSDARG00000076622	ATP13A3	11	34955004	34984427	protein_coding	1
ENSDARG00000092513	pku300	22	4580770	4586006	protein_coding	1
ENSDARG00000063522	bbs4	25	2608100	2642154	protein_coding	3
ENSDARG00000060545	TMC8	11	45852272	45864148	protein_coding	1
ENSDARG00000070013	dmrt2b	6	35599989	35606659	protein_coding	1
ENSDARG00000095259	tmem119a	5	22212166	22220895	protein_coding	1
ENSDARG00000077903	zgc:194551	22	27161240	27171701	protein_coding	1
ENSDARG00000090337	pprc1	13	11761998	11775438	protein_coding	1
ENSDARG00000057881	si:dkey-33c12.3	13	8679134	8684248	protein_coding	2
ENSDARG00000054515	CR925773.1	10	43522706	43527883	protein_coding	1
ENSDARG00000094403	HTRA2 (22 of 31)	13	8531218	8549535	protein_coding	3
ENSDARG00000091441	BX537156.1	4	20666570	20667007	protein_coding	1
ENSDARG00000079616	cramp1l	3	15467697	15494107	protein_coding	2
ENSDARG00000097281	si:dkey-7i4.20	15	728270	733117	protein_coding	1
ENSDARG00000091573	CU693477.1	16	34147487	34154520	protein_coding	1
ENSDARG00000053101	prpf38b	2	45710634	45719285	protein_coding	5
ENSDARG00000005578	ugp2a	1	51506478	51524949	protein_coding	1
ENSDARG00000042811	fgf1b	21	42662924	42666251	protein_coding	1
ENSDARG00000086515	rad21a	16	51609444	51627088	protein_coding	3
ENSDARG00000035607	ankle2	5	20726792	20746543	protein_coding	3
ENSDARG00000070778	CR354611.1	25	21832520	21834494	protein_coding	2
ENSDARG00000087777	ctps1b	16	39241848	39250161	protein_coding	1
ENSDARG00000024933	spast	1	51530601	51548207	protein_coding	1
ENSDARG00000090770	CU693487.1	2	28011847	28021904	protein_coding	1
ENSDARG00000055014	CR558302.2	11	3640652	3646662	protein_coding	1
ENSDARG00000095364	RBBP6 (67 of 71)	11	11482175	11483523	protein_coding	1
ENSDARG00000002970	ss18	2	2368190	2384584	protein_coding	2
ENSDARG00000034092	sc:d0284	1	58174835	58183630	protein_coding	1
ENSDARG00000008969	fgb	1	9127847	9135580	protein_coding	5
ENSDARG00000086984	BX321870.1	4	43658236	43668930	protein_coding	1
ENSDARG00000045853	rad51ap1	4	5069718	5076592	protein_coding	1
ENSDARG00000095543	si:dkey-27i16.2	14	18460918	18466401	protein_coding	1
ENSDARG00000062864	gk5	2	16472899	16515517	protein_coding	1
ENSDARG00000078041	xpo1a	1	54220653	54244553	protein_coding	1
ENSDARG00000078279	foxp3b	8	24289354	24306939	protein_coding	2
ENSDARG00000069130	col19a1	13	39370940	39416161	protein_coding	1
ENSDARG00000030368	naa15b	1	41005810	41031327	protein_coding	3
ENSDARG00000093644	AL953903.3	10	41698366	41699375	pseudogene	1
ENSDARG00000020201	cdc73	2	11737859	11794480	protein_coding	2
ENSDARG00000055538	avl9	12	15290509	15317111	protein_coding	1
ENSDARG00000014432	ccdc77	25	3666022	3679403	protein_coding	8
ENSDARG00000086346	si:dkey-82i20.5	4	56706517	56718119	protein_coding	2
ENSDARG00000029063	clpxa	7	14542830	14563525	protein_coding	1
ENSDARG00000035629	parvab	7	68435231	68468132	protein_coding	1
ENSDARG00000076601	arhgef9b	14	9314461	9359558	protein_coding	2
ENSDARG00000086784	CABZ01023601.1	18	48359239	48500759	protein_coding	1
ENSDARG00000055253	slc12a10.3	7	4556524	4591855	protein_coding	2
ENSDARG00000057625	dusp14	15	14875193	14896847	protein_coding	1
ENSDARG00000086196	CABZ01027552.1	16	49984403	49996083	protein_coding	1
ENSDARG00000025404	ube2g2	6	9186808	9197775	protein_coding	1
ENSDARG00000078523	ddr1	16	23637415	23677923	protein_coding	1
ENSDARG00000090722	C20H6orf58 (1 of 2)	20	1422043	1444314	protein_coding	2
ENSDARG00000061377	efcab1	19	41142983	41146670	protein_coding	2
ENSDARG00000086549	BX005305.1	12	47524757	47527075	protein_coding	1
ENSDARG00000060649	lrp2a	9	49443799	49716433	protein_coding	2
ENSDARG00000092659	ppp3r1a	13	972098	992674	protein_coding	1
ENSDARG00000089850	MYOM2 (2 of 3)	13	9549226	9580261	protein_coding	1
ENSDARG00000020448	adi1	17	51749276	51754592	protein_coding	1
ENSDARG00000060127	adamts3	5	46941599	47157384	protein_coding	1
ENSDARG00000062906	kcnv2b	5	9471688	9483668	protein_coding	1
ENSDARG00000091624	ugt2b1	5	9858434	9862960	protein_coding	1
ENSDARG00000006212	MYT1L (1 of 2)	17	51997281	52039345	protein_coding	1
ENSDARG00000069514	TRIM47 (43 of 90)	3	5199297	5208959	protein_coding	1
ENSDARG00000077058	CELA1 (6 of 7)	22	7779988	7792168	protein_coding	1
ENSDARG00000077425	NACC2	5	67883392	67885521	protein_coding	1
ENSDARG00000034662	nsmce1	3	42532226	42547346	protein_coding	3
ENSDARG00000041464	fzd1	16	57441057	57442693	protein_coding	1
ENSDARG00000068493	si:zfos-411a11.2	15	54193	58848	protein_coding	1
ENSDARG00000076214	zgc:165514	15	42830163	42834718	protein_coding	1
ENSDARG00000015247	f8	14	1005561	1038983	protein_coding	2
ENSDARG00000086695		Zv9_NA495	10351	10897	protein_coding	1
ENSDARG00000007289	METRNL (1 of 2)	1	57636360	57646923	protein_coding	2
ENSDARG00000040151	esrrb	17	52843627	52916658	protein_coding	1
ENSDARG00000058682	si:dkey-184p9.9	21	9959443	9967658	protein_coding	1
ENSDARG00000093903	ZNF585A (29 of 40)	4	33542000	33543552	protein_coding	1
ENSDARG00000075043	GPRIN3	1	51357105	51368376	protein_coding	3
ENSDARG00000004221	dnah9	12	227141	235068	protein_coding	1
ENSDARG00000089465	CABZ01048956.1	12	46994362	47010486	protein_coding	1
ENSDARG00000096671	si:ch73-94k4.3	1	57874379	57886230	protein_coding	1
ENSDARG00000093876	si:dkey-28d5.10	7	5069334	5071259	protein_coding	2
ENSDARG00000018989	hspa4b	14	24591915	24612390	protein_coding	1
ENSDARG00000045417	fam49bb	24	10594127	10669741	protein_coding	4
ENSDARG00000079268	CABZ01083862.1	7	72074328	72106217	protein_coding	1
ENSDARG00000035458	atp2a1l	12	14350228	14367789	protein_coding	2
ENSDARG00000090305	CABZ01086759.2	7	72827097	72827786	protein_coding	1
ENSDARG00000095720	si:dkey-65b12.13	5	43472020	43473976	processed_transcript	1
ENSDARG00000057900	nitr5	7	18199083	18202298	protein_coding	2
ENSDARG00000076545	CABZ01019905.2	3	7909035	7909774	protein_coding	1
ENSDARG00000094186	si:rp71-78h1.11	9	1943820	1946722	processed_transcript	1
ENSDARG00000006288	prdm5	23	1945256	2058964	protein_coding	1
ENSDARG00000010425	scara5	20	1378004	1407225	protein_coding	2
ENSDARG00000090564	PDZD4 (2 of 2)	23	232228	265517	protein_coding	3
ENSDARG00000090802	mcm3	16	54766749	54780384	protein_coding	1
ENSDARG00000090877	CABZ01058139.1	13	49525771	49526436	protein_coding	1
ENSDARG00000088763	CFAP44	19	50245572	50250398	protein_coding	1
ENSDARG00000059885	frmd3	8	51878790	51962748	protein_coding	3
ENSDARG00000086465	FP236513.1	3	7169856	7170923	protein_coding	1
ENSDARG00000087550	CU571260.1	3	13361316	13443428	protein_coding	1
ENSDARG00000042081	SSTR5 (1 of 2)	24	16776314	16797643	protein_coding	1
ENSDARG00000076969	ftr22	2	48011265	48018262	protein_coding	2
ENSDARG00000070801	opa1	6	36498738	36573693	protein_coding	1
ENSDARG00000086434	CABZ01075684.2	Zv9_NA365	13268	14875	protein_coding	1
ENSDARG00000062581	nlgn3a	14	18125032	18436239	protein_coding	3
ENSDARG00000086642	CABZ01111935.1	Zv9_NA495	1176	7181	protein_coding	1
ENSDARG00000008849	ptprq	18	5405292	5492454	protein_coding	3
ENSDARG00000071042	cx28.8	20	210798	215392	protein_coding	2
ENSDARG00000079889	PHLDB2 (2 of 2)	10	36492416	36555972	protein_coding	2
ENSDARG00000090087	CABZ01021435.2	Zv9_scaffold3465	373173	380537	protein_coding	1
ENSDARG00000078301	C22H6orf89	22	683763	692463	protein_coding	1
ENSDARG00000046092	si:ch211-283g2.3	5	4242809	4252482	protein_coding	2
ENSDARG00000045383	GPR22 (2 of 2)	25	3438435	3439757	protein_coding	1
ENSDARG00000086680	tec	Zv9_NA110	3427	25563	protein_coding	1
ENSDARG00000076525	nadka	Zv9_NA913	1515	10866	protein_coding	1
ENSDARG00000043275	mgmt	17	20044366	20048544	protein_coding	5
ENSDARG00000075801	EIF4G1 (2 of 3)	Zv9_NA805	5413	17968	protein_coding	1
ENSDARG00000077270	INCENP	25	3555053	3581279	protein_coding	3
ENSDARG00000074923	SLC16A7	Zv9_NA123	35158	44920	protein_coding	2
ENSDARG00000043317	kita	20	22403310	22445479	protein_coding	3
ENSDARG00000090099	si:dkeyp-67a8.4	7	6374169	6391465	protein_coding	2
ENSDARG00000038728	ch25hl2	21	7173572	7174889	protein_coding	1
ENSDARG00000090972	MEI1	20	49298451	49302107	protein_coding	1
ENSDARG00000058549	smyd1b	8	886267	907978	protein_coding	1
ENSDARG00000077861	sowahaa	21	41732691	41733834	protein_coding	1
ENSDARG00000013024	ERAP1 (1 of 2)	10	2926300	2948489	protein_coding	4
ENSDARG00000009170	ctr9	7	67288488	67326081	protein_coding	1
ENSDARG00000067562	CLTC (2 of 3)	8	2259952	2275548	protein_coding	1
ENSDARG00000087957	GPR123 (3 of 3)	13	51865256	51901548	protein_coding	1
ENSDARG00000060962	btr04	7	16950705	16960473	protein_coding	1
ENSDARG00000068432	wu:fb17g07	7	45704015	45705440	protein_coding	1
ENSDARG00000088602	CABZ01063868.1	1	13481619	13483218	protein_coding	1
ENSDARG00000096727	si:dkey-94l16.6	12	421912	468389	antisense	1
ENSDARG00000097125	si:dkey-7i4.23	15	693547	694058	protein_coding	1
ENSDARG00000093699	si:ch73-27e22.4	22	8535633	8537772	protein_coding	1
ENSDARG00000074630	CU856207.1	19	47825277	47830703	protein_coding	1
ENSDARG00000090805	CR385054.2	16	2094109	2101555	protein_coding	1
ENSDARG00000076058	gba	16	15981569	15994187	protein_coding	2
ENSDARG00000014031	abcc2	13	553354	583302	protein_coding	1
ENSDARG00000079496	bicd1a	18	11506755	11566641	protein_coding	2
ENSDARG00000069869	zgc:113030	3	60476452	60481054	protein_coding	1
ENSDARG00000089721	CABZ01045045.1	20	53072713	53091501	protein_coding	1
ENSDARG00000020493	lgi1a	13	310570	319465	protein_coding	1
ENSDARG00000037576	DRD5 (1 of 2)	1	13257425	13258486	protein_coding	1
ENSDARG00000041430	bmp2b	20	46426544	46432528	protein_coding	2
ENSDARG00000079281		7	25695505	25738547	protein_coding	3
ENSDARG00000008948	PLA2G3 (1 of 2)	10	3527758	3540499	protein_coding	1
ENSDARG00000059081	PRSS35 (2 of 2)	23	2460733	2461989	protein_coding	1
ENSDARG00000092848	si:ch211-255f4.8	22	2727202	2728027	protein_coding	1
ENSDARG00000073780	CABZ01012885.1	7	72032423	72036823	protein_coding	1
ENSDARG00000091163	ndufa4l2	9	156242	160683	protein_coding	1
ENSDARG00000008407	tspan7b	22	11550855	11603386	protein_coding	1
ENSDARG00000090580	kcnab1	18	32836806	32881848	protein_coding	1
ENSDARG00000018306	srl	3	11010945	11066570	protein_coding	4
ENSDARG00000093022	seph	8	7852257	7854076	protein_coding	3
ENSDARG00000025648	fibpb	21	24821969	24829863	protein_coding	1
ENSDARG00000093873	si:dkey-102c8.1	22	10186728	10189819	processed_transcript	1
ENSDARG00000014139	srp72	14	1213527	1240261	protein_coding	2
ENSDARG00000094764	FYB (2 of 2)	5	9094420	9106454	protein_coding	1
ENSDARG00000029232	CABZ01041769.1	25	7855466	7866873	protein_coding	1
ENSDARG00000002046	btr29	19	1504344	1511430	protein_coding	1
ENSDARG00000017255	tmed1b	1	59667310	59677129	protein_coding	2
ENSDARG00000062477	kiaa1549la	25	15711151	15839475	protein_coding	1
ENSDARG00000015964	zgc:153311	6	30174749	30175753	protein_coding	1
ENSDARG00000016476	oaz1b	21	820942	832531	polymorphic_pseudogene	3
ENSDARG00000088577	CABZ01061717.1	7	75181962	75182453	protein_coding	1
ENSDARG00000040156	grm4	6	46919697	47186687	protein_coding	1
ENSDARG00000092521	CR382283.2	7	9222792	9223427	protein_coding	1
ENSDARG00000037675	npm1b	14	5594201	5648591	protein_coding	1
ENSDARG00000040245	kpnb3	1	2017193	2056339	protein_coding	4
ENSDARG00000089269	FP102887.1	15	355201	373090	protein_coding	1
ENSDARG00000097394	ZNF317	15	997733	1002447	protein_coding	1
ENSDARG00000020395	mical2b	25	16551506	16666060	protein_coding	3
ENSDARG00000076861	tmem79b	16	32670139	32678928	protein_coding	1
ENSDARG00000089917	sh3tc2	14	35941153	35953405	protein_coding	1
ENSDARG00000042526	sebox	5	70368137	70378675	protein_coding	2
ENSDARG00000041323	csdc2a	12	20195546	20199772	protein_coding	1
ENSDARG00000089374	MKRN2OS (2 of 2)	11	570490	572565	protein_coding	1
ENSDARG00000015905	lztr1	5	13926392	13945558	protein_coding	2
ENSDARG00000013317	pygmb	7	23990980	24019264	protein_coding	4
ENSDARG00000074441	gp1bb	8	4776395	4786959	protein_coding	3
ENSDARG00000035602	dao.1	5	21971766	21978678	protein_coding	2
ENSDARG00000071862	si:dkeyp-53d3.3	22	2605686	2617104	protein_coding	1
ENSDARG00000074260	si:ch211-113a14.19	7	76847640	76848026	protein_coding	1
ENSDARG00000090371	BX664721.5	7	76692360	76699575	protein_coding	1
ENSDARG00000007370	dysf	7	26728112	26864332	protein_coding	3
ENSDARG00000068724	shmt2	6	59094231	59150417	protein_coding	2
ENSDARG00000058533	pole	5	13945986	14007252	protein_coding	1
ENSDARG00000044395	ZFP36	Zv9_NA234	5622	7517	protein_coding	2
ENSDARG00000091149	si:ch211-51i16.3	3	7944095	7952874	protein_coding	4
ENSDARG00000004196	tnfsf10l	7	24081951	24123980	protein_coding	3
ENSDARG00000011863	ptk7a	22	41304083	41369035	protein_coding	2
ENSDARG00000074487	CR762483.1	13	30916271	30922724	protein_coding	1
ENSDARG00000090976	NABP2	11	2485855	2491407	protein_coding	1
ENSDARG00000090943	CABZ01033205.2	15	139321	145563	protein_coding	1
ENSDARG00000052182	rbfox2	6	271848	295086	protein_coding	1
ENSDARG00000025493	serp1	18	2448953	2453073	protein_coding	2
ENSDARG00000092285	cenpv	5	43672944	43678760	protein_coding	2
ENSDARG00000002764	miox	18	5818132	5828224	protein_coding	1
ENSDARG00000063264	PCDH9	6	4767824	4772172	protein_coding	2
ENSDARG00000061725	MAST3 (1 of 2)	2	24410684	24452847	protein_coding	1
ENSDARG00000092569	si:dkey-73n10.7p	18	18596365	18602081	unprocessed_pseudogene	1
ENSDARG00000096297	si:dkey-15g22.2	6	8925107	9091050	antisense	1
ENSDARG00000071893	pcdh2g4	14	2871145	2873559	protein_coding	1
ENSDARG00000088418	AL929558.4	14	2646338	2648611	protein_coding	1
ENSDARG00000011459	gsna	21	16084006	16114767	protein_coding	2
ENSDARG00000079873	si:ch211-160d14.6	1	7678019	7686648	protein_coding	2
ENSDARG00000079964	dlx2a	9	3393859	3397177	protein_coding	1
ENSDARG00000033587	CABZ01088134.1	20	2026453	2040972	protein_coding	1
ENSDARG00000043732	cops4	10	11321780	11334372	protein_coding	1
ENSDARG00000097503	si:ch73-288o11.5	17	20435166	20441465	protein_coding	2
ENSDARG00000012796	hnmt	9	10362980	10370660	protein_coding	2
ENSDARG00000078718	PLA2G3 (2 of 2)	7	74698283	74710906	protein_coding	1
ENSDARG00000009242	fev	9	11824465	11827840	protein_coding	3
ENSDARG00000035161	PKDCC	13	2798467	2844475	protein_coding	2
